age,marital,education_level,job_type,income_level,contact,day_of_week,duration_mins,campaign,previous,poutcome,was_contacted_before,deposited_before,y
39,married,low,blue-collar,mid,cellular,fri,2,1,0,nonexistent,False,False,no
30,married,high,blue-collar,mid,telephone,fri,5,2,0,nonexistent,False,False,no
41,divorced,mid,blue-collar,mid,cellular,thu,13,2,1,failure,True,False,yes
55,married,low,blue-collar,mid,cellular,thu,1,4,0,nonexistent,False,False,no
30,married,high,white-collar,mid,telephone,fri,1,1,0,nonexistent,False,False,no
48,divorced,mid,blue-collar,mid,cellular,mon,1,4,0,nonexistent,False,False,no
36,single,mid,blue-collar,mid,cellular,thu,8,1,0,nonexistent,False,False,yes
46,married,low,white-collar,mid,cellular,tue,3,1,1,failure,True,False,no
48,single,mid,white-collar,mid,cellular,mon,4,2,0,nonexistent,False,False,no
36,married,mid,white-collar,high,telephone,mon,2,4,0,nonexistent,False,False,no
53,married,high,white-collar,mid,telephone,wed,4,1,0,nonexistent,False,False,no
56,married,low,out-of-workforce,low,telephone,wed,1,4,0,nonexistent,False,False,no
48,married,mid,blue-collar,mid,cellular,thu,11,3,0,nonexistent,False,False,no
35,married,low,blue-collar,mid,cellular,fri,4,1,1,failure,True,False,no
50,married,mid,white-collar,high,cellular,thu,5,4,0,nonexistent,False,False,no
32,single,mid,blue-collar,mid,cellular,mon,4,1,1,failure,True,False,no
37,single,high,blue-collar,mid,telephone,mon,3,2,0,nonexistent,False,False,no
56,divorced,mid,blue-collar,mid,telephone,mon,3,1,0,nonexistent,False,False,no
35,single,low,blue-collar,mid,cellular,tue,2,6,0,nonexistent,False,False,no
51,married,low,blue-collar,mid,cellular,wed,7,2,0,nonexistent,False,False,yes
51,married,high,white-collar,mid,cellular,mon,5,4,0,nonexistent,False,False,yes
44,divorced,mid,blue-collar,mid,cellular,thu,3,2,0,nonexistent,False,False,no
36,married,low,blue-collar,mid,telephone,mon,2,2,0,nonexistent,False,False,no
36,married,high,out-of-workforce,low,cellular,thu,10,2,0,nonexistent,False,False,no
47,single,high,white-collar,mid,cellular,thu,5,3,0,nonexistent,False,False,no
30,single,mid,blue-collar,mid,cellular,fri,2,1,0,nonexistent,False,False,no
32,married,high,white-collar,mid,cellular,thu,1,4,0,nonexistent,False,False,no
39,married,high,white-collar,mid,telephone,wed,3,4,0,nonexistent,False,False,no
71,married,mid,out-of-workforce,low,cellular,fri,5,1,0,nonexistent,False,False,no
34,single,mid,white-collar,mid,cellular,wed,6,1,0,nonexistent,False,False,no
32,single,high,white-collar,mid,telephone,tue,1,1,0,nonexistent,False,False,no
58,married,low,blue-collar,mid,telephone,fri,4,1,0,nonexistent,False,False,no
21,single,low,blue-collar,mid,cellular,wed,4,1,0,nonexistent,False,False,no
39,married,low,blue-collar,mid,cellular,fri,0,6,0,nonexistent,False,False,no
39,married,mid,white-collar,high,telephone,wed,3,7,0,nonexistent,False,False,no
39,married,mid,white-collar,high,cellular,tue,1,1,0,nonexistent,False,False,no
45,married,low,blue-collar,mid,telephone,tue,2,2,0,nonexistent,False,False,no
40,single,mid,white-collar,mid,telephone,tue,6,2,0,nonexistent,False,False,no
49,married,mid,white-collar,mid,cellular,tue,0,13,0,nonexistent,False,False,no
48,single,mid,blue-collar,mid,telephone,fri,2,2,0,nonexistent,False,False,no
25,single,mid,white-collar,mid,telephone,tue,4,3,0,nonexistent,False,False,no
49,divorced,high,blue-collar,mid,cellular,wed,5,1,0,nonexistent,False,False,no
33,single,low,blue-collar,mid,cellular,mon,2,3,0,nonexistent,False,False,no
35,single,low,blue-collar,mid,cellular,fri,1,2,0,nonexistent,False,False,no
33,married,high,white-collar,high,cellular,mon,10,2,0,nonexistent,False,False,no
36,married,low,blue-collar,mid,telephone,mon,3,2,0,nonexistent,False,False,no
49,single,mid,white-collar,mid,telephone,tue,6,5,0,nonexistent,False,False,no
30,married,high,white-collar,high,cellular,fri,1,1,1,failure,True,False,no
77,married,low,out-of-workforce,low,cellular,tue,4,2,1,success,True,True,yes
34,married,high,white-collar,high,telephone,fri,4,1,0,nonexistent,False,False,no
48,divorced,high,white-collar,high,cellular,thu,1,6,0,nonexistent,False,False,no
44,married,mid,white-collar,high,telephone,mon,1,5,0,nonexistent,False,False,no
50,married,mid,out-of-workforce,low,telephone,thu,3,1,0,nonexistent,False,False,no
49,married,low,blue-collar,mid,cellular,thu,2,1,0,nonexistent,False,False,no
28,single,high,white-collar,mid,cellular,thu,8,5,0,nonexistent,False,False,yes
50,divorced,low,blue-collar,mid,telephone,fri,15,3,0,nonexistent,False,False,no
40,single,mid,white-collar,mid,cellular,tue,3,1,1,failure,True,False,no
48,married,low,blue-collar,mid,cellular,fri,0,8,0,nonexistent,False,False,no
32,married,high,blue-collar,mid,telephone,thu,1,6,0,nonexistent,False,False,no
29,married,mid,white-collar,mid,telephone,mon,4,1,0,nonexistent,False,False,no
29,single,mid,white-collar,mid,telephone,mon,0,1,0,nonexistent,False,False,no
55,divorced,high,white-collar,high,cellular,fri,2,2,0,nonexistent,False,False,no
45,married,mid,out-of-workforce,low,telephone,thu,1,2,0,nonexistent,False,False,no
52,divorced,mid,blue-collar,mid,telephone,mon,1,8,0,nonexistent,False,False,no
32,single,high,blue-collar,mid,cellular,wed,1,4,0,nonexistent,False,False,no
38,married,mid,blue-collar,mid,telephone,tue,3,2,0,nonexistent,False,False,no
33,single,high,white-collar,mid,cellular,fri,4,1,0,nonexistent,False,False,yes
29,single,mid,blue-collar,mid,cellular,thu,2,4,0,nonexistent,False,False,no
37,married,high,white-collar,mid,cellular,tue,3,2,0,nonexistent,False,False,no
80,married,low,out-of-workforce,low,cellular,thu,3,1,0,nonexistent,False,False,yes
57,married,high,white-collar,high,telephone,fri,2,1,0,nonexistent,False,False,no
37,divorced,low,blue-collar,mid,telephone,thu,10,4,0,nonexistent,False,False,yes
40,married,mid,white-collar,mid,telephone,fri,1,3,0,nonexistent,False,False,no
43,divorced,low,blue-collar,mid,cellular,tue,8,7,0,nonexistent,False,False,no
22,single,low,blue-collar,mid,telephone,thu,0,1,0,nonexistent,False,False,no
41,married,mid,white-collar,mid,cellular,thu,1,1,0,nonexistent,False,False,no
35,single,low,blue-collar,mid,cellular,mon,3,1,0,nonexistent,False,False,no
37,married,low,blue-collar,mid,telephone,mon,3,2,0,nonexistent,False,False,no
44,divorced,mid,blue-collar,mid,cellular,thu,4,3,0,nonexistent,False,False,no
32,single,mid,blue-collar,mid,telephone,thu,4,4,0,nonexistent,False,False,no
60,married,low,out-of-workforce,low,cellular,tue,6,3,0,nonexistent,False,False,no
36,married,low,blue-collar,mid,cellular,thu,2,1,0,nonexistent,False,False,no
51,divorced,high,white-collar,mid,telephone,wed,3,2,0,nonexistent,False,False,no
36,married,high,white-collar,high,telephone,wed,6,3,0,nonexistent,False,False,no
46,married,mid,blue-collar,mid,cellular,wed,3,2,0,nonexistent,False,False,no
30,single,high,white-collar,high,cellular,wed,4,3,0,nonexistent,False,False,no
33,married,high,white-collar,mid,cellular,mon,6,3,0,nonexistent,False,False,yes
36,married,mid,white-collar,mid,cellular,mon,4,1,1,success,True,True,no
27,single,low,out-of-workforce,low,cellular,fri,1,2,1,failure,True,False,no
37,married,mid,blue-collar,mid,telephone,thu,1,3,0,nonexistent,False,False,no
50,married,mid,white-collar,high,cellular,fri,22,6,1,failure,True,False,no
37,married,mid,blue-collar,mid,cellular,wed,2,1,0,nonexistent,False,False,no
24,single,high,blue-collar,mid,cellular,thu,3,1,0,nonexistent,False,False,no
31,married,low,blue-collar,mid,telephone,wed,2,2,0,nonexistent,False,False,no
30,single,mid,white-collar,mid,cellular,thu,0,8,1,failure,True,False,no
33,married,mid,white-collar,mid,telephone,wed,5,1,0,nonexistent,False,False,no
49,married,high,white-collar,mid,cellular,thu,4,1,0,nonexistent,False,False,no
49,married,low,blue-collar,mid,telephone,wed,3,2,0,nonexistent,False,False,no
31,single,mid,blue-collar,mid,cellular,tue,3,1,0,nonexistent,False,False,no
30,married,low,out-of-workforce,low,cellular,fri,3,2,0,nonexistent,False,False,no
29,married,high,blue-collar,mid,cellular,fri,7,1,0,nonexistent,False,False,no
41,married,mid,blue-collar,mid,cellular,fri,4,1,0,nonexistent,False,False,no
40,married,high,white-collar,mid,cellular,mon,0,12,0,nonexistent,False,False,no
41,divorced,low,blue-collar,mid,telephone,wed,2,1,0,nonexistent,False,False,no
42,married,low,blue-collar,mid,telephone,mon,3,2,0,nonexistent,False,False,no
37,married,mid,blue-collar,mid,telephone,fri,2,4,0,nonexistent,False,False,no
34,married,high,white-collar,mid,cellular,fri,7,3,3,failure,True,False,yes
51,single,low,blue-collar,mid,cellular,fri,1,1,0,nonexistent,False,False,no
39,married,mid,blue-collar,mid,telephone,fri,1,2,0,nonexistent,False,False,no
33,divorced,mid,blue-collar,mid,telephone,tue,3,1,0,nonexistent,False,False,no
39,divorced,mid,blue-collar,mid,telephone,mon,5,1,0,nonexistent,False,False,no
27,single,high,white-collar,mid,telephone,fri,4,2,0,nonexistent,False,False,no
36,single,high,white-collar,high,cellular,mon,5,5,0,nonexistent,False,False,no
43,married,high,white-collar,mid,telephone,wed,25,1,0,nonexistent,False,False,no
42,married,high,white-collar,mid,cellular,mon,2,2,0,nonexistent,False,False,no
35,married,high,white-collar,high,cellular,thu,6,1,0,nonexistent,False,False,yes
28,single,mid,white-collar,mid,cellular,fri,5,1,0,nonexistent,False,False,yes
47,divorced,low,blue-collar,mid,telephone,fri,5,1,0,nonexistent,False,False,no
55,single,high,white-collar,mid,cellular,mon,2,1,0,nonexistent,False,False,no
34,married,mid,blue-collar,mid,cellular,tue,4,5,0,nonexistent,False,False,no
34,married,low,blue-collar,mid,cellular,tue,1,1,0,nonexistent,False,False,no
44,married,low,white-collar,mid,cellular,mon,2,10,0,nonexistent,False,False,no
39,married,low,blue-collar,mid,telephone,wed,4,2,0,nonexistent,False,False,no
49,married,mid,blue-collar,mid,telephone,wed,4,2,0,nonexistent,False,False,no
36,single,mid,blue-collar,mid,telephone,mon,2,2,0,nonexistent,False,False,no
37,married,high,white-collar,high,telephone,mon,3,7,0,nonexistent,False,False,no
37,married,high,white-collar,mid,cellular,tue,6,1,0,nonexistent,False,False,no
40,single,mid,white-collar,mid,cellular,tue,11,3,0,nonexistent,False,False,no
59,married,high,blue-collar,mid,cellular,mon,4,1,1,failure,True,False,no
49,married,low,blue-collar,mid,cellular,fri,0,3,0,nonexistent,False,False,no
53,single,high,white-collar,mid,cellular,fri,5,2,1,success,True,True,yes
57,married,mid,blue-collar,mid,telephone,tue,3,3,0,nonexistent,False,False,no
43,married,low,blue-collar,mid,telephone,wed,4,3,0,nonexistent,False,False,no
54,married,mid,white-collar,high,cellular,tue,31,1,0,nonexistent,False,False,yes
51,divorced,mid,white-collar,mid,cellular,tue,6,2,4,failure,True,False,yes
35,divorced,low,blue-collar,mid,cellular,tue,2,1,0,nonexistent,False,False,no
53,married,high,white-collar,mid,telephone,fri,2,1,0,nonexistent,False,False,no
53,divorced,high,white-collar,high,cellular,mon,1,1,0,nonexistent,False,False,no
34,divorced,high,white-collar,mid,telephone,thu,6,3,1,failure,True,False,yes
50,divorced,mid,blue-collar,mid,telephone,wed,13,4,0,nonexistent,False,False,no
39,married,high,white-collar,mid,cellular,thu,2,10,0,nonexistent,False,False,no
27,single,mid,out-of-workforce,low,cellular,tue,1,1,0,nonexistent,False,False,no
27,single,high,white-collar,high,cellular,tue,2,2,2,success,True,True,no
44,single,low,blue-collar,mid,telephone,thu,2,1,0,nonexistent,False,False,no
29,married,high,white-collar,mid,cellular,thu,3,2,0,nonexistent,False,False,no
42,married,low,blue-collar,mid,telephone,fri,1,2,0,nonexistent,False,False,no
31,single,mid,blue-collar,mid,cellular,fri,10,1,1,failure,True,False,no
29,married,mid,blue-collar,mid,cellular,wed,4,2,0,nonexistent,False,False,no
60,married,high,out-of-workforce,low,telephone,fri,10,1,0,nonexistent,False,False,no
28,single,high,white-collar,mid,cellular,mon,5,1,0,nonexistent,False,False,yes
28,married,low,blue-collar,mid,cellular,tue,6,1,0,nonexistent,False,False,yes
40,married,mid,blue-collar,mid,cellular,wed,4,4,1,failure,True,False,no
35,married,mid,white-collar,mid,telephone,wed,0,19,0,nonexistent,False,False,no
36,single,mid,blue-collar,mid,cellular,fri,4,2,0,nonexistent,False,False,no
36,married,low,blue-collar,mid,telephone,mon,3,1,0,nonexistent,False,False,no
49,married,mid,white-collar,mid,cellular,mon,4,1,0,nonexistent,False,False,no
47,married,high,white-collar,mid,telephone,tue,2,2,0,nonexistent,False,False,no
29,married,high,white-collar,mid,cellular,thu,4,3,0,nonexistent,False,False,no
35,divorced,low,blue-collar,mid,telephone,fri,3,6,0,nonexistent,False,False,no
33,married,mid,white-collar,mid,telephone,fri,2,4,0,nonexistent,False,False,no
28,single,mid,blue-collar,mid,telephone,mon,5,1,0,nonexistent,False,False,no
44,married,mid,blue-collar,mid,telephone,mon,13,1,0,nonexistent,False,False,no
34,single,high,white-collar,high,cellular,thu,4,2,0,nonexistent,False,False,no
48,divorced,mid,white-collar,mid,telephone,thu,1,2,0,nonexistent,False,False,no
38,married,mid,blue-collar,mid,telephone,thu,7,1,0,nonexistent,False,False,no
39,married,mid,blue-collar,mid,cellular,tue,5,1,0,nonexistent,False,False,no
35,single,low,blue-collar,mid,cellular,fri,0,5,0,nonexistent,False,False,no
26,single,high,white-collar,mid,cellular,mon,3,2,0,nonexistent,False,False,no
48,married,mid,white-collar,mid,cellular,thu,1,1,0,nonexistent,False,False,no
41,married,low,blue-collar,mid,cellular,mon,3,8,0,nonexistent,False,False,no
37,married,low,blue-collar,mid,cellular,thu,11,2,0,nonexistent,False,False,no
38,single,high,blue-collar,mid,telephone,tue,4,1,0,nonexistent,False,False,no
45,married,low,blue-collar,mid,cellular,tue,7,1,0,nonexistent,False,False,no
45,married,low,blue-collar,mid,cellular,mon,12,2,0,nonexistent,False,False,yes
36,single,low,out-of-workforce,low,telephone,thu,3,1,0,nonexistent,False,False,no
45,married,low,blue-collar,mid,telephone,tue,14,1,0,nonexistent,False,False,no
45,divorced,high,white-collar,mid,cellular,fri,1,9,0,nonexistent,False,False,no
35,divorced,mid,white-collar,mid,cellular,mon,1,1,1,failure,True,False,no
40,married,low,blue-collar,mid,telephone,mon,21,2,0,nonexistent,False,False,no
38,married,low,out-of-workforce,low,cellular,tue,3,1,0,nonexistent,False,False,no
39,married,mid,white-collar,mid,telephone,tue,3,1,0,nonexistent,False,False,no
52,married,low,blue-collar,mid,cellular,fri,3,1,0,nonexistent,False,False,no
37,married,low,white-collar,high,cellular,mon,5,1,1,success,True,True,no
33,single,mid,white-collar,mid,cellular,mon,1,2,2,failure,True,False,no
33,single,high,white-collar,mid,cellular,fri,6,2,0,nonexistent,False,False,no
49,married,low,blue-collar,mid,telephone,thu,5,1,0,nonexistent,False,False,no
38,married,mid,white-collar,mid,cellular,fri,0,5,1,failure,True,False,no
34,married,mid,blue-collar,mid,cellular,thu,5,9,0,nonexistent,False,False,no
38,married,low,blue-collar,mid,cellular,tue,5,1,1,failure,True,False,no
56,married,low,white-collar,mid,cellular,thu,2,1,0,nonexistent,False,False,no
30,married,mid,out-of-workforce,low,cellular,mon,7,1,1,success,True,True,yes
24,single,mid,out-of-workforce,low,cellular,thu,7,1,0,nonexistent,False,False,yes
36,married,low,blue-collar,mid,telephone,tue,5,2,0,nonexistent,False,False,no
40,married,low,blue-collar,mid,cellular,wed,1,1,0,nonexistent,False,False,no
29,married,high,blue-collar,mid,cellular,fri,1,2,0,nonexistent,False,False,no
29,married,low,blue-collar,mid,cellular,mon,3,1,0,nonexistent,False,False,no
46,married,mid,white-collar,mid,cellular,mon,0,1,0,nonexistent,False,False,no
51,married,mid,white-collar,mid,telephone,thu,4,1,0,nonexistent,False,False,no
27,single,mid,blue-collar,mid,cellular,mon,5,2,0,nonexistent,False,False,no
58,married,high,white-collar,high,cellular,mon,8,1,0,nonexistent,False,False,no
29,single,high,blue-collar,mid,cellular,wed,2,1,0,nonexistent,False,False,no
43,divorced,low,blue-collar,mid,telephone,thu,3,2,0,nonexistent,False,False,no
34,divorced,mid,blue-collar,mid,cellular,tue,2,3,0,nonexistent,False,False,no
27,single,low,blue-collar,mid,cellular,fri,3,7,0,nonexistent,False,False,no
53,married,high,white-collar,high,cellular,thu,3,1,0,nonexistent,False,False,no
44,single,mid,white-collar,mid,telephone,thu,0,8,0,nonexistent,False,False,no
30,married,low,blue-collar,mid,cellular,thu,1,1,0,nonexistent,False,False,no
32,single,high,white-collar,mid,cellular,thu,3,1,0,nonexistent,False,False,no
30,single,mid,blue-collar,mid,cellular,mon,11,4,0,nonexistent,False,False,yes
46,divorced,high,white-collar,mid,cellular,thu,1,1,0,nonexistent,False,False,no
39,divorced,mid,blue-collar,mid,cellular,thu,3,1,0,nonexistent,False,False,no
28,divorced,mid,blue-collar,mid,telephone,thu,3,1,0,nonexistent,False,False,no
34,married,high,white-collar,mid,cellular,thu,4,1,0,nonexistent,False,False,no
50,married,low,blue-collar,mid,cellular,mon,19,3,0,nonexistent,False,False,yes
59,married,high,blue-collar,mid,telephone,mon,6,1,0,nonexistent,False,False,no
27,single,mid,blue-collar,mid,cellular,thu,3,1,0,nonexistent,False,False,no
32,single,mid,blue-collar,mid,cellular,tue,1,5,0,nonexistent,False,False,no
29,single,high,white-collar,mid,telephone,thu,2,2,0,nonexistent,False,False,no
42,single,mid,blue-collar,mid,cellular,mon,0,5,2,failure,True,False,no
25,single,mid,blue-collar,mid,telephone,mon,5,3,2,failure,True,False,no
52,married,low,blue-collar,mid,cellular,mon,1,2,0,nonexistent,False,False,no
47,divorced,mid,blue-collar,mid,cellular,mon,3,1,1,failure,True,False,yes
43,married,low,blue-collar,mid,cellular,tue,7,2,0,nonexistent,False,False,no
36,married,mid,blue-collar,mid,telephone,mon,4,3,0,nonexistent,False,False,no
35,single,mid,blue-collar,mid,telephone,mon,2,2,0,nonexistent,False,False,no
56,married,high,white-collar,high,telephone,wed,3,1,0,nonexistent,False,False,no
55,married,high,out-of-workforce,low,cellular,thu,5,2,0,nonexistent,False,False,no
55,single,mid,blue-collar,mid,cellular,wed,2,2,0,nonexistent,False,False,no
45,married,high,white-collar,mid,cellular,mon,4,1,0,nonexistent,False,False,no
30,married,high,blue-collar,mid,telephone,tue,3,1,0,nonexistent,False,False,no
30,divorced,low,blue-collar,mid,cellular,tue,3,2,0,nonexistent,False,False,no
58,married,mid,white-collar,mid,cellular,fri,7,1,0,nonexistent,False,False,no
50,married,low,white-collar,high,cellular,tue,5,1,0,nonexistent,False,False,no
26,single,low,blue-collar,mid,cellular,fri,3,2,0,nonexistent,False,False,no
33,single,high,white-collar,mid,cellular,mon,9,2,0,nonexistent,False,False,no
34,married,low,blue-collar,mid,telephone,thu,4,3,0,nonexistent,False,False,no
34,married,mid,white-collar,mid,telephone,thu,0,1,1,failure,True,False,no
29,single,high,blue-collar,mid,cellular,mon,6,1,0,nonexistent,False,False,no
37,single,high,blue-collar,mid,cellular,fri,5,2,0,nonexistent,False,False,yes
24,single,mid,blue-collar,mid,cellular,wed,1,1,0,nonexistent,False,False,no
81,married,low,out-of-workforce,low,cellular,thu,3,2,1,success,True,True,no
35,married,low,blue-collar,mid,telephone,thu,6,2,0,nonexistent,False,False,no
24,single,low,blue-collar,mid,cellular,mon,5,1,0,nonexistent,False,False,no
33,married,low,blue-collar,mid,cellular,tue,6,1,0,nonexistent,False,False,no
32,married,mid,blue-collar,mid,cellular,mon,0,6,1,failure,True,False,no
41,married,low,white-collar,mid,telephone,mon,3,1,0,nonexistent,False,False,no
37,divorced,mid,blue-collar,mid,cellular,tue,1,1,0,nonexistent,False,False,no
44,married,mid,blue-collar,mid,cellular,tue,3,11,0,nonexistent,False,False,no
57,married,mid,out-of-workforce,low,cellular,wed,2,3,0,nonexistent,False,False,no
31,married,high,white-collar,high,cellular,thu,3,1,0,nonexistent,False,False,yes
56,married,low,out-of-workforce,low,cellular,tue,1,1,0,nonexistent,False,False,no
31,single,high,white-collar,mid,cellular,thu,2,7,0,nonexistent,False,False,no
43,married,low,out-of-workforce,low,cellular,fri,4,2,1,success,True,True,yes
55,married,high,out-of-workforce,low,telephone,thu,3,1,0,nonexistent,False,False,no
34,married,high,blue-collar,mid,cellular,thu,1,1,0,nonexistent,False,False,no
33,single,mid,blue-collar,mid,telephone,wed,3,2,0,nonexistent,False,False,no
41,married,mid,white-collar,high,telephone,tue,3,1,0,nonexistent,False,False,no
50,married,high,white-collar,high,cellular,thu,2,1,1,failure,True,False,no
31,married,low,blue-collar,mid,telephone,wed,2,4,0,nonexistent,False,False,no
47,married,low,white-collar,high,telephone,fri,8,2,0,nonexistent,False,False,no
49,married,mid,white-collar,high,cellular,tue,2,1,0,nonexistent,False,False,no
59,married,mid,white-collar,mid,cellular,mon,5,5,0,nonexistent,False,False,no
47,married,high,white-collar,mid,telephone,mon,7,2,0,nonexistent,False,False,no
46,married,high,white-collar,mid,telephone,mon,4,4,0,nonexistent,False,False,no
26,single,high,white-collar,high,cellular,thu,12,1,0,nonexistent,False,False,yes
41,married,high,white-collar,mid,telephone,tue,7,1,0,nonexistent,False,False,no
40,married,mid,blue-collar,mid,cellular,mon,3,3,0,nonexistent,False,False,no
47,married,mid,blue-collar,mid,cellular,thu,3,1,0,nonexistent,False,False,no
27,single,high,white-collar,mid,cellular,mon,2,1,0,nonexistent,False,False,no
30,married,mid,blue-collar,mid,cellular,tue,6,19,0,nonexistent,False,False,no
42,married,high,white-collar,mid,cellular,tue,3,1,0,nonexistent,False,False,no
39,single,mid,blue-collar,mid,cellular,tue,1,1,0,nonexistent,False,False,no
29,single,mid,white-collar,mid,cellular,wed,5,1,0,nonexistent,False,False,no
46,married,low,blue-collar,mid,telephone,mon,7,2,0,nonexistent,False,False,no
41,married,high,white-collar,mid,telephone,thu,1,1,0,nonexistent,False,False,no
36,married,low,blue-collar,mid,telephone,mon,1,1,0,nonexistent,False,False,no
52,married,mid,white-collar,mid,cellular,wed,2,6,0,nonexistent,False,False,no
32,married,mid,white-collar,mid,cellular,wed,3,1,0,nonexistent,False,False,no
31,single,mid,blue-collar,mid,telephone,fri,1,9,0,nonexistent,False,False,no
45,married,low,blue-collar,mid,cellular,wed,2,1,0,nonexistent,False,False,no
48,married,low,blue-collar,mid,cellular,mon,2,1,0,nonexistent,False,False,no
32,single,mid,white-collar,mid,telephone,mon,10,2,0,nonexistent,False,False,no
33,married,mid,white-collar,mid,cellular,thu,2,4,0,nonexistent,False,False,no
41,single,mid,white-collar,high,telephone,thu,3,2,0,nonexistent,False,False,no
53,married,mid,blue-collar,mid,telephone,wed,5,2,0,nonexistent,False,False,no
51,married,low,blue-collar,mid,cellular,fri,9,3,0,nonexistent,False,False,no
26,single,high,white-collar,mid,cellular,fri,5,1,0,nonexistent,False,False,yes
27,single,low,blue-collar,mid,telephone,mon,6,1,0,nonexistent,False,False,no
31,married,mid,blue-collar,mid,cellular,thu,2,2,0,nonexistent,False,False,no
44,married,low,blue-collar,mid,cellular,tue,6,5,0,nonexistent,False,False,no
35,married,low,blue-collar,mid,telephone,thu,1,1,0,nonexistent,False,False,no
44,married,low,blue-collar,mid,telephone,tue,5,2,0,nonexistent,False,False,no
41,married,mid,blue-collar,mid,cellular,tue,2,1,0,nonexistent,False,False,no
34,married,mid,blue-collar,mid,cellular,fri,6,2,0,nonexistent,False,False,no
34,married,low,blue-collar,mid,cellular,mon,3,1,0,nonexistent,False,False,no
43,married,high,white-collar,high,cellular,fri,11,1,0,nonexistent,False,False,yes
39,divorced,low,blue-collar,mid,telephone,wed,2,1,0,nonexistent,False,False,no
46,divorced,high,blue-collar,mid,telephone,fri,21,3,0,nonexistent,False,False,no
35,divorced,mid,blue-collar,mid,cellular,fri,6,1,0,nonexistent,False,False,yes
47,married,mid,blue-collar,mid,telephone,wed,1,1,0,nonexistent,False,False,no
27,single,high,white-collar,high,cellular,mon,1,4,0,nonexistent,False,False,no
37,married,mid,white-collar,mid,cellular,mon,9,1,0,nonexistent,False,False,no
52,married,low,blue-collar,mid,telephone,thu,7,1,0,nonexistent,False,False,no
43,married,low,blue-collar,mid,telephone,wed,2,2,0,nonexistent,False,False,no
31,single,high,white-collar,mid,cellular,fri,1,4,0,nonexistent,False,False,no
29,single,high,white-collar,mid,cellular,tue,1,1,0,nonexistent,False,False,no
43,married,mid,white-collar,mid,cellular,fri,2,2,1,failure,True,False,no
