age,job,marital,education,contact,day_of_week,campaign,previous,poutcome,duration_mins,education_level,job_type,income_level,was_contacted_before,deposited_before,y
35,services,single,basic.9y,cellular,fri,2,0,nonexistent,1,low,blue-collar,mid,False,False,no
33,entrepreneur,married,university.degree,cellular,mon,2,0,nonexistent,10,high,entrepreneur,high,False,False,no
36,housemaid,married,basic.4y,telephone,mon,2,0,nonexistent,3,low,blue-collar,mid,False,False,no
49,admin.,single,high.school,telephone,tue,5,0,nonexistent,6,mid,white-collar,mid,False,False,no
30,management,married,university.degree,cellular,fri,1,1,failure,1,high,white-collar,high,True,False,no
70,retired,married,basic.4y,cellular,tue,2,1,success,4,low,retired,low,True,True,yes
34,management,married,university.degree,telephone,fri,1,0,nonexistent,4,high,white-collar,high,False,False,no
48,management,divorced,university.degree,cellular,thu,6,0,nonexistent,1,high,white-collar,high,False,False,no
44,management,married,high.school,telephone,mon,5,0,nonexistent,1,mid,white-collar,high,False,False,no
50,unemployed,married,professional.course,telephone,thu,1,0,nonexistent,3,mid,unemployed,low,False,False,no
49,blue-collar,married,basic.9y,cellular,thu,1,0,nonexistent,2,low,blue-collar,mid,False,False,no
28,admin.,single,university.degree,cellular,thu,5,0,nonexistent,8,high,white-collar,mid,False,False,yes
50,blue-collar,divorced,basic.9y,telephone,fri,3,0,nonexistent,15,low,blue-collar,mid,False,False,no
40,admin.,single,high.school,cellular,tue,1,1,failure,3,mid,white-collar,mid,True,False,no
48,services,married,basic.9y,cellular,fri,8,0,nonexistent,0,low,blue-collar,mid,False,False,no
32,technician,married,university.degree,telephone,thu,6,0,nonexistent,1,high,blue-collar,mid,False,False,no
29,admin.,married,high.school,telephone,mon,1,0,nonexistent,4,mid,white-collar,mid,False,False,no
29,admin.,single,high.school,telephone,mon,1,0,nonexistent,0,mid,white-collar,mid,False,False,no
55,entrepreneur,divorced,university.degree,cellular,fri,2,0,nonexistent,2,high,entrepreneur,high,False,False,no
45,technician,married,high.school,telephone,thu,2,0,nonexistent,1,mid,blue-collar,mid,False,False,no
52,technician,divorced,professional.course,telephone,mon,8,0,nonexistent,1,mid,blue-collar,mid,False,False,no
32,technician,single,university.degree,cellular,wed,4,0,nonexistent,1,high,blue-collar,mid,False,False,no
38,technician,married,professional.course,telephone,tue,2,0,nonexistent,3,mid,blue-collar,mid,False,False,no
33,admin.,single,university.degree,cellular,fri,1,0,nonexistent,4,high,white-collar,mid,False,False,yes
29,technician,single,professional.course,cellular,thu,4,0,nonexistent,2,mid,blue-collar,mid,False,False,no
37,admin.,married,university.degree,cellular,tue,2,0,nonexistent,3,high,white-collar,mid,False,False,no
70,retired,married,basic.4y,cellular,thu,1,0,nonexistent,3,low,retired,low,False,False,yes
57,management,married,university.degree,telephone,fri,1,0,nonexistent,2,high,white-collar,high,False,False,no
37,blue-collar,divorced,basic.9y,telephone,thu,4,0,nonexistent,10,low,blue-collar,mid,False,False,yes
40,admin.,married,high.school,telephone,fri,3,0,nonexistent,1,mid,white-collar,mid,False,False,no
43,services,divorced,high.school,cellular,tue,7,0,nonexistent,8,mid,blue-collar,mid,False,False,no
22,blue-collar,single,basic.4y,telephone,thu,1,0,nonexistent,0,low,blue-collar,mid,False,False,no
41,self-employed,married,professional.course,cellular,thu,1,0,nonexistent,1,mid,entrepreneur,mid,False,False,no
35,blue-collar,single,basic.6y,cellular,mon,1,0,nonexistent,3,low,blue-collar,mid,False,False,no
37,blue-collar,married,basic.9y,telephone,mon,2,0,nonexistent,3,low,blue-collar,mid,False,False,no
44,technician,divorced,professional.course,cellular,thu,3,0,nonexistent,4,mid,blue-collar,mid,False,False,no
32,blue-collar,single,high.school,telephone,thu,4,0,nonexistent,4,mid,blue-collar,mid,False,False,no
60,retired,married,basic.4y,cellular,tue,3,0,nonexistent,6,low,retired,low,False,False,no
36,blue-collar,married,basic.4y,cellular,thu,1,0,nonexistent,2,low,blue-collar,mid,False,False,no
51,admin.,divorced,university.degree,telephone,wed,2,0,nonexistent,3,high,white-collar,mid,False,False,no
36,entrepreneur,married,university.degree,telephone,wed,3,0,nonexistent,6,high,entrepreneur,high,False,False,no
46,services,married,high.school,cellular,wed,2,0,nonexistent,3,mid,blue-collar,mid,False,False,no
30,management,single,university.degree,cellular,wed,3,0,nonexistent,4,high,white-collar,high,False,False,no
33,admin.,married,university.degree,cellular,mon,3,0,nonexistent,6,high,white-collar,mid,False,False,yes
36,admin.,married,high.school,cellular,mon,1,1,success,4,mid,white-collar,mid,True,True,no
27,unemployed,single,basic.9y,cellular,fri,2,1,failure,1,low,unemployed,low,True,False,no
37,services,married,high.school,telephone,thu,3,0,nonexistent,1,mid,blue-collar,mid,False,False,no
50,entrepreneur,married,high.school,cellular,fri,6,1,failure,20,mid,entrepreneur,high,True,False,no
37,services,married,high.school,cellular,wed,1,0,nonexistent,2,mid,blue-collar,mid,False,False,no
24,technician,single,university.degree,cellular,thu,1,0,nonexistent,3,high,blue-collar,mid,False,False,no
31,housemaid,married,basic.4y,telephone,wed,2,0,nonexistent,2,low,blue-collar,mid,False,False,no
30,admin.,single,high.school,cellular,thu,8,1,failure,0,mid,white-collar,mid,True,False,no
33,admin.,married,high.school,telephone,wed,1,0,nonexistent,5,mid,white-collar,mid,False,False,no
49,admin.,married,university.degree,cellular,thu,1,0,nonexistent,4,high,white-collar,mid,False,False,no
49,blue-collar,married,basic.9y,telephone,wed,2,0,nonexistent,3,low,blue-collar,mid,False,False,no
31,technician,single,high.school,cellular,tue,1,0,nonexistent,3,mid,blue-collar,mid,False,False,no
30,unemployed,married,basic.9y,cellular,fri,2,0,nonexistent,3,low,unemployed,low,False,False,no
29,technician,married,high.school,cellular,fri,1,0,nonexistent,7,mid,blue-collar,mid,False,False,no
41,technician,married,professional.course,cellular,fri,1,0,nonexistent,4,mid,blue-collar,mid,False,False,no
40,admin.,married,university.degree,cellular,mon,10,0,nonexistent,0,high,white-collar,mid,False,False,no
41,blue-collar,divorced,basic.4y,telephone,wed,1,0,nonexistent,2,low,blue-collar,mid,False,False,no
42,blue-collar,married,basic.9y,telephone,mon,2,0,nonexistent,3,low,blue-collar,mid,False,False,no
37,services,married,high.school,telephone,fri,4,0,nonexistent,2,mid,blue-collar,mid,False,False,no
34,admin.,married,university.degree,cellular,fri,3,3,failure,7,high,white-collar,mid,True,False,yes
51,services,single,basic.6y,cellular,fri,1,0,nonexistent,1,low,blue-collar,mid,False,False,no
39,housemaid,married,high.school,telephone,fri,2,0,nonexistent,1,mid,blue-collar,mid,False,False,no
33,technician,divorced,high.school,telephone,tue,1,0,nonexistent,3,mid,blue-collar,mid,False,False,no
39,blue-collar,divorced,high.school,telephone,mon,1,0,nonexistent,5,mid,blue-collar,mid,False,False,no
27,self-employed,single,university.degree,telephone,fri,2,0,nonexistent,4,high,entrepreneur,mid,False,False,no
36,management,single,university.degree,cellular,mon,5,0,nonexistent,5,high,white-collar,high,False,False,no
43,self-employed,married,university.degree,telephone,wed,1,0,nonexistent,20,high,entrepreneur,mid,False,False,no
42,self-employed,married,university.degree,cellular,mon,2,0,nonexistent,2,high,entrepreneur,mid,False,False,no
35,management,married,university.degree,cellular,thu,1,0,nonexistent,6,high,white-collar,high,False,False,yes
28,admin.,single,high.school,cellular,fri,1,0,nonexistent,5,mid,white-collar,mid,False,False,yes
47,blue-collar,divorced,basic.9y,telephone,fri,1,0,nonexistent,5,low,blue-collar,mid,False,False,no
55,admin.,single,university.degree,cellular,mon,1,0,nonexistent,2,high,white-collar,mid,False,False,no
34,services,married,high.school,cellular,tue,5,0,nonexistent,4,mid,blue-collar,mid,False,False,no
34,blue-collar,married,basic.4y,cellular,tue,1,0,nonexistent,1,low,blue-collar,mid,False,False,no
44,self-employed,married,basic.9y,cellular,mon,10,0,nonexistent,2,low,entrepreneur,mid,False,False,no
39,blue-collar,married,basic.4y,telephone,wed,2,0,nonexistent,4,low,blue-collar,mid,False,False,no
49,services,married,high.school,telephone,wed,2,0,nonexistent,4,mid,blue-collar,mid,False,False,no
36,blue-collar,single,high.school,telephone,mon,2,0,nonexistent,2,mid,blue-collar,mid,False,False,no
37,management,married,university.degree,telephone,mon,7,0,nonexistent,3,high,white-collar,high,False,False,no
37,admin.,married,university.degree,cellular,tue,1,0,nonexistent,6,high,white-collar,mid,False,False,no
40,admin.,single,high.school,cellular,tue,3,0,nonexistent,11,mid,white-collar,mid,False,False,no
59,technician,married,university.degree,cellular,mon,1,1,failure,4,high,blue-collar,mid,True,False,no
49,blue-collar,married,basic.4y,cellular,fri,3,0,nonexistent,0,low,blue-collar,mid,False,False,no
53,admin.,single,university.degree,cellular,fri,2,1,success,5,high,white-collar,mid,True,True,yes
57,blue-collar,married,high.school,telephone,tue,3,0,nonexistent,3,mid,blue-collar,mid,False,False,no
43,technician,married,basic.6y,telephone,wed,3,0,nonexistent,4,low,blue-collar,mid,False,False,no
54,entrepreneur,married,professional.course,cellular,tue,1,0,nonexistent,20,mid,entrepreneur,high,False,False,yes
51,admin.,divorced,high.school,cellular,tue,2,4,failure,6,mid,white-collar,mid,True,False,yes
35,blue-collar,divorced,basic.4y,cellular,tue,1,0,nonexistent,2,low,blue-collar,mid,False,False,no
53,admin.,married,university.degree,telephone,fri,1,0,nonexistent,2,high,white-collar,mid,False,False,no
53,entrepreneur,divorced,university.degree,cellular,mon,1,0,nonexistent,1,high,entrepreneur,high,False,False,no
34,admin.,divorced,university.degree,telephone,thu,3,1,failure,6,high,white-collar,mid,True,False,yes
50,housemaid,divorced,high.school,telephone,wed,4,0,nonexistent,13,mid,blue-collar,mid,False,False,no
39,admin.,married,university.degree,cellular,thu,10,0,nonexistent,2,high,white-collar,mid,False,False,no
27,student,single,high.school,cellular,tue,1,0,nonexistent,1,mid,student,low,False,False,no
27,management,single,university.degree,cellular,tue,2,2,success,2,high,white-collar,high,True,True,no
44,blue-collar,single,basic.4y,telephone,thu,1,0,nonexistent,2,low,blue-collar,mid,False,False,no
29,self-employed,married,university.degree,cellular,thu,2,0,nonexistent,3,high,entrepreneur,mid,False,False,no
42,blue-collar,married,basic.4y,telephone,fri,2,0,nonexistent,1,low,blue-collar,mid,False,False,no
31,technician,single,high.school,cellular,fri,1,1,failure,10,mid,blue-collar,mid,True,False,no
29,technician,married,professional.course,cellular,wed,2,0,nonexistent,4,mid,blue-collar,mid,False,False,no
60,retired,married,university.degree,telephone,fri,1,0,nonexistent,10,high,retired,low,False,False,no
28,self-employed,single,university.degree,cellular,mon,1,0,nonexistent,5,high,entrepreneur,mid,False,False,yes
28,blue-collar,married,basic.9y,cellular,tue,1,0,nonexistent,6,low,blue-collar,mid,False,False,yes
40,services,married,high.school,cellular,wed,4,1,failure,4,mid,blue-collar,mid,True,False,no
35,admin.,married,high.school,telephone,wed,10,0,nonexistent,0,mid,white-collar,mid,False,False,no
36,services,single,high.school,cellular,fri,2,0,nonexistent,4,mid,blue-collar,mid,False,False,no
36,blue-collar,married,basic.6y,telephone,mon,1,0,nonexistent,3,low,blue-collar,mid,False,False,no
49,admin.,married,high.school,cellular,mon,1,0,nonexistent,4,mid,white-collar,mid,False,False,no
47,admin.,married,university.degree,telephone,tue,2,0,nonexistent,2,high,white-collar,mid,False,False,no
29,admin.,married,university.degree,cellular,thu,3,0,nonexistent,4,high,white-collar,mid,False,False,no
35,blue-collar,divorced,basic.9y,telephone,fri,6,0,nonexistent,3,low,blue-collar,mid,False,False,no
33,admin.,married,professional.course,telephone,fri,4,0,nonexistent,2,mid,white-collar,mid,False,False,no
28,services,single,high.school,telephone,mon,1,0,nonexistent,5,mid,blue-collar,mid,False,False,no
44,technician,married,professional.course,telephone,mon,1,0,nonexistent,13,mid,blue-collar,mid,False,False,no
34,management,single,university.degree,cellular,thu,2,0,nonexistent,4,high,white-collar,high,False,False,no
48,admin.,divorced,high.school,telephone,thu,2,0,nonexistent,1,mid,white-collar,mid,False,False,no
38,technician,married,professional.course,telephone,thu,1,0,nonexistent,7,mid,blue-collar,mid,False,False,no
39,services,married,high.school,cellular,tue,1,0,nonexistent,5,mid,blue-collar,mid,False,False,no
35,blue-collar,single,basic.4y,cellular,fri,5,0,nonexistent,0,low,blue-collar,mid,False,False,no
26,admin.,single,university.degree,cellular,mon,2,0,nonexistent,3,high,white-collar,mid,False,False,no
48,admin.,married,high.school,cellular,thu,1,0,nonexistent,1,mid,white-collar,mid,False,False,no
41,blue-collar,married,basic.9y,cellular,mon,8,0,nonexistent,3,low,blue-collar,mid,False,False,no
37,blue-collar,married,basic.6y,cellular,thu,2,0,nonexistent,11,low,blue-collar,mid,False,False,no
38,technician,single,university.degree,telephone,tue,1,0,nonexistent,4,high,blue-collar,mid,False,False,no
45,blue-collar,married,basic.4y,cellular,tue,1,0,nonexistent,7,low,blue-collar,mid,False,False,no
45,blue-collar,married,basic.6y,cellular,mon,2,0,nonexistent,12,low,blue-collar,mid,False,False,yes
36,student,single,basic.9y,telephone,thu,1,0,nonexistent,3,low,student,low,False,False,no
45,blue-collar,married,basic.4y,telephone,tue,1,0,nonexistent,14,low,blue-collar,mid,False,False,no
45,admin.,divorced,university.degree,cellular,fri,9,0,nonexistent,1,high,white-collar,mid,False,False,no
35,admin.,divorced,high.school,cellular,mon,1,1,failure,1,mid,white-collar,mid,True,False,no
40,blue-collar,married,basic.4y,telephone,mon,2,0,nonexistent,20,low,blue-collar,mid,False,False,no
38,unemployed,married,basic.4y,cellular,tue,1,0,nonexistent,3,low,unemployed,low,False,False,no
39,admin.,married,high.school,telephone,tue,1,0,nonexistent,3,mid,white-collar,mid,False,False,no
52,housemaid,married,basic.6y,cellular,fri,1,0,nonexistent,3,low,blue-collar,mid,False,False,no
37,entrepreneur,married,basic.9y,cellular,mon,1,1,success,5,low,entrepreneur,high,True,True,no
33,admin.,single,high.school,cellular,mon,2,2,failure,1,mid,white-collar,mid,True,False,no
33,admin.,single,university.degree,cellular,fri,2,0,nonexistent,6,high,white-collar,mid,False,False,no
49,blue-collar,married,basic.4y,telephone,thu,1,0,nonexistent,5,low,blue-collar,mid,False,False,no
38,admin.,married,high.school,cellular,fri,5,1,failure,0,mid,white-collar,mid,True,False,no
34,technician,married,professional.course,cellular,thu,9,0,nonexistent,5,mid,blue-collar,mid,False,False,no
38,blue-collar,married,basic.9y,cellular,tue,1,1,failure,5,low,blue-collar,mid,True,False,no
56,self-employed,married,basic.9y,cellular,thu,1,0,nonexistent,2,low,entrepreneur,mid,False,False,no
30,unemployed,married,high.school,cellular,mon,1,1,success,7,mid,unemployed,low,True,True,yes
24,student,single,professional.course,cellular,thu,1,0,nonexistent,7,mid,student,low,False,False,yes
36,technician,married,professional.course,telephone,tue,2,0,nonexistent,5,mid,blue-collar,mid,False,False,no
40,technician,married,basic.9y,cellular,wed,1,0,nonexistent,1,low,blue-collar,mid,False,False,no
29,services,married,university.degree,cellular,fri,2,0,nonexistent,1,high,blue-collar,mid,False,False,no
29,blue-collar,married,basic.9y,cellular,mon,1,0,nonexistent,3,low,blue-collar,mid,False,False,no
46,admin.,married,high.school,cellular,mon,1,0,nonexistent,0,mid,white-collar,mid,False,False,no
51,admin.,married,high.school,telephone,thu,1,0,nonexistent,4,mid,white-collar,mid,False,False,no
27,services,single,high.school,cellular,mon,2,0,nonexistent,5,mid,blue-collar,mid,False,False,no
58,management,married,university.degree,cellular,mon,1,0,nonexistent,8,high,white-collar,high,False,False,no
29,technician,single,university.degree,cellular,wed,1,0,nonexistent,2,high,blue-collar,mid,False,False,no
43,blue-collar,divorced,basic.4y,telephone,thu,2,0,nonexistent,3,low,blue-collar,mid,False,False,no
34,technician,divorced,professional.course,cellular,tue,3,0,nonexistent,2,mid,blue-collar,mid,False,False,no
27,technician,single,basic.9y,cellular,fri,7,0,nonexistent,3,low,blue-collar,mid,False,False,no
53,management,married,university.degree,cellular,thu,1,0,nonexistent,3,high,white-collar,high,False,False,no
44,admin.,single,professional.course,telephone,thu,8,0,nonexistent,0,mid,white-collar,mid,False,False,no
30,blue-collar,married,basic.6y,cellular,thu,1,0,nonexistent,1,low,blue-collar,mid,False,False,no
32,admin.,single,university.degree,cellular,thu,1,0,nonexistent,3,high,white-collar,mid,False,False,no
30,technician,single,high.school,cellular,mon,4,0,nonexistent,11,mid,blue-collar,mid,False,False,yes
46,admin.,divorced,university.degree,cellular,thu,1,0,nonexistent,1,high,white-collar,mid,False,False,no
39,services,divorced,high.school,cellular,thu,1,0,nonexistent,3,mid,blue-collar,mid,False,False,no
28,technician,divorced,professional.course,telephone,thu,1,0,nonexistent,3,mid,blue-collar,mid,False,False,no
34,admin.,married,university.degree,cellular,thu,1,0,nonexistent,4,high,white-collar,mid,False,False,no
50,blue-collar,married,basic.4y,cellular,mon,3,0,nonexistent,19,low,blue-collar,mid,False,False,yes
59,technician,married,professional.course,telephone,mon,1,0,nonexistent,6,mid,blue-collar,mid,False,False,no
27,services,single,high.school,cellular,thu,1,0,nonexistent,3,mid,blue-collar,mid,False,False,no
32,technician,single,professional.course,cellular,tue,5,0,nonexistent,1,mid,blue-collar,mid,False,False,no
29,admin.,single,university.degree,telephone,thu,2,0,nonexistent,2,high,white-collar,mid,False,False,no
42,services,single,high.school,cellular,mon,5,2,failure,0,mid,blue-collar,mid,True,False,no
25,blue-collar,single,high.school,telephone,mon,3,2,failure,5,mid,blue-collar,mid,True,False,no
52,housemaid,married,basic.4y,cellular,mon,2,0,nonexistent,1,low,blue-collar,mid,False,False,no
47,technician,divorced,high.school,cellular,mon,1,1,failure,3,mid,blue-collar,mid,True,False,yes
43,blue-collar,married,basic.9y,cellular,tue,2,0,nonexistent,7,low,blue-collar,mid,False,False,no
36,technician,married,professional.course,telephone,mon,3,0,nonexistent,4,mid,blue-collar,mid,False,False,no
35,technician,single,high.school,telephone,mon,2,0,nonexistent,2,mid,blue-collar,mid,False,False,no
56,management,married,university.degree,telephone,wed,1,0,nonexistent,3,high,white-collar,high,False,False,no
55,unemployed,married,university.degree,cellular,thu,2,0,nonexistent,5,high,unemployed,low,False,False,no
55,services,single,high.school,cellular,wed,2,0,nonexistent,2,mid,blue-collar,mid,False,False,no
45,admin.,married,university.degree,cellular,mon,1,0,nonexistent,4,high,white-collar,mid,False,False,no
30,technician,married,university.degree,telephone,tue,1,0,nonexistent,3,high,blue-collar,mid,False,False,no
30,blue-collar,divorced,basic.9y,cellular,tue,2,0,nonexistent,3,low,blue-collar,mid,False,False,no
58,admin.,married,high.school,cellular,fri,1,0,nonexistent,7,mid,white-collar,mid,False,False,no
50,entrepreneur,married,basic.4y,cellular,tue,1,0,nonexistent,5,low,entrepreneur,high,False,False,no
26,blue-collar,single,basic.9y,cellular,fri,2,0,nonexistent,3,low,blue-collar,mid,False,False,no
33,admin.,single,university.degree,cellular,mon,2,0,nonexistent,9,high,white-collar,mid,False,False,no
34,blue-collar,married,basic.6y,telephone,thu,3,0,nonexistent,4,low,blue-collar,mid,False,False,no
34,admin.,married,high.school,telephone,thu,1,1,failure,0,mid,white-collar,mid,True,False,no
29,technician,single,university.degree,cellular,mon,1,0,nonexistent,6,high,blue-collar,mid,False,False,no
37,housemaid,single,university.degree,cellular,fri,2,0,nonexistent,5,high,blue-collar,mid,False,False,yes
24,services,single,professional.course,cellular,wed,1,0,nonexistent,1,mid,blue-collar,mid,False,False,no
70,retired,married,basic.6y,cellular,thu,2,1,success,3,low,retired,low,True,True,no
35,blue-collar,married,basic.9y,telephone,thu,2,0,nonexistent,6,low,blue-collar,mid,False,False,no
24,blue-collar,single,basic.9y,cellular,mon,1,0,nonexistent,5,low,blue-collar,mid,False,False,no
